Time,X,Y,Z,Roll,Pitch,Yaw
8603.967,0.89,-1.286,0.235,-0.0,-0.0,-2.156
8604.967,0.89,-1.286,0.235,-0.0,-0.0,-2.156
8605.968,0.89,-1.286,0.235,0.0,0.0,-2.156
8606.967,0.891,-1.286,0.235,-0.0,0.0,-2.156
8607.967,0.891,-1.286,0.235,-0.0,0.0,-2.156
8608.967,0.891,-1.286,0.235,-0.0,0.0,-2.156
8609.967,0.891,-1.286,0.235,-0.0,0.0,-2.156
8610.967,0.891,-1.286,0.235,-0.0,-0.0,-2.156
8611.967,0.673,-1.612,0.235,-0.0,0.002,-2.157
8612.968,0.42,-1.999,0.235,-0.0,0.006,-2.178
8613.967,0.426,-2.027,0.235,0.003,-0.002,-3.096
8614.967,0.16,-1.923,0.235,-0.0,0.001,2.735
8615.967,-0.299,-1.724,0.234,-0.0,0.002,2.733
8616.968,-0.758,-1.527,0.235,-0.0,-0.0,2.733
8617.967,-1.218,-1.328,0.235,-0.0,0.0,2.733
8618.967,-1.677,-1.13,0.235,-0.0,0.0,2.733
8619.967,-1.716,-1.137,0.235,-0.003,0.003,1.875
8620.967,-1.737,-0.75,0.235,-0.0,0.002,1.606
8621.967,-1.754,-0.251,0.235,-0.0,-0.001,1.605
8622.967,-1.773,0.251,0.235,-0.0,-0.0,1.604
8623.967,-1.789,0.749,0.235,-0.0,-0.0,1.605
8624.968,-1.806,1.25,0.235,-0.0,-0.0,1.605
8625.967,-1.823,1.75,0.235,-0.0,-0.0,1.605
8626.967,-1.84,2.252,0.235,-0.0,0.0,1.605
8627.968,-1.859,2.751,0.235,-0.0,-0.0,1.605
8628.967,-1.876,3.251,0.235,-0.0,0.0,1.605
8629.967,-1.875,3.264,0.235,-0.0,0.005,1.605
8630.967,-1.856,3.265,0.235,0.003,0.004,2.256
8631.967,-1.878,3.281,0.235,-0.0,-0.005,3.065
8632.968,-2.378,3.311,0.233,-0.0,0.004,3.08
8633.968,-2.878,3.343,0.235,-0.0,-0.0,3.08
8634.968,-3.379,3.373,0.235,-0.0,-0.0,3.08
8635.967,-3.876,3.402,0.235,-0.0,0.0,3.08
8636.967,-4.04,3.412,0.235,-0.0,0.003,3.08
8637.967,-4.033,3.43,0.235,-0.001,-0.002,-2.565
8638.968,-4.049,3.445,0.235,0.0,0.0,-1.816
8639.967,-4.061,3.446,0.235,-0.0,-0.0,-1.346
8640.968,-3.984,3.118,0.235,0.0,-0.003,-1.345
8641.967,-3.871,2.631,0.236,0.0,-0.002,-1.345
8642.967,-3.873,2.619,0.235,0.001,0.005,-1.219
8643.967,-3.895,2.604,0.235,-0.002,-0.002,-0.336
8644.967,-3.666,2.638,0.235,0.0,-0.003,0.192
8645.967,-3.177,2.734,0.234,0.0,0.002,0.195
8646.967,-2.686,2.83,0.235,-0.0,-0.0,0.195
8647.967,-2.195,2.928,0.235,0.0,-0.0,0.195
8648.967,-1.703,3.024,0.235,0.0,-0.0,0.195
8649.967,-1.213,3.122,0.235,0.0,-0.0,0.195
8650.968,-0.72,3.22,0.235,0.0,-0.0,0.195
8651.968,-0.231,3.318,0.235,0.0,-0.0,0.195
8652.967,0.26,3.413,0.235,0.0,-0.0,0.195
8653.967,0.75,3.511,0.235,0.0,-0.0,0.195
8654.967,1.013,3.571,0.235,-0.0,-0.001,-0.161
8655.967,1.033,3.586,0.235,-0.001,0.001,-1.045
8656.967,1.071,3.306,0.235,0.0,0.002,-1.478
8657.967,1.111,2.843,0.236,-0.0,0.001,-1.464
8658.968,1.088,2.832,0.235,-0.002,-0.003,-0.584
8659.967,1.264,2.829,0.235,-0.0,0.003,0.064
8660.967,1.761,2.86,0.236,0.0,-0.002,0.064
8661.967,2.262,2.893,0.235,0.0,-0.0,0.064
8662.967,2.762,2.926,0.235,0.0,-0.0,0.065
