Time,X,Y,Z,Roll,Pitch,Yaw
8603.967,0.89,-1.286,0.235,-1.571,-0.0,2.556
8604.967,0.89,-1.286,0.235,-1.571,-0.0,2.556
8605.968,0.89,-1.286,0.235,-1.571,0.0,2.556
8606.967,0.891,-1.286,0.235,-1.571,-0.0,2.556
8607.967,0.891,-1.286,0.235,-1.571,-0.0,2.556
8608.967,0.891,-1.286,0.235,-1.571,-0.0,2.556
8609.967,0.891,-1.286,0.235,-1.571,-0.0,2.556
8610.967,0.891,-1.286,0.235,-1.571,-0.0,2.556
8611.967,0.673,-1.612,0.235,-1.573,-0.0,2.556
8612.968,0.42,-1.999,0.235,-1.577,-0.0,2.534
8613.967,0.426,-2.027,0.235,-1.568,0.003,1.616
8614.967,0.16,-1.923,0.235,-1.572,-0.0,1.164
8615.967,-0.299,-1.724,0.234,-1.572,-0.0,1.162
8616.968,-0.758,-1.527,0.235,-1.571,-0.0,1.163
8617.967,-1.218,-1.328,0.235,-1.571,-0.0,1.162
8618.967,-1.677,-1.13,0.235,-1.571,-0.0,1.162
8619.967,-1.716,-1.137,0.235,-1.573,-0.003,0.305
8620.967,-1.737,-0.75,0.235,-1.573,-0.0,0.035
8621.967,-1.754,-0.251,0.235,-1.57,-0.0,0.034
8622.967,-1.773,0.251,0.235,-1.571,-0.0,0.034
8623.967,-1.789,0.749,0.235,-1.571,-0.0,0.034
8624.968,-1.806,1.25,0.235,-1.571,-0.0,0.034
8625.967,-1.823,1.75,0.235,-1.571,-0.0,0.034
8626.967,-1.84,2.252,0.235,-1.571,-0.0,0.034
8627.968,-1.859,2.751,0.235,-1.571,-0.0,0.034
8628.967,-1.876,3.251,0.235,-1.571,-0.0,0.034
8629.967,-1.875,3.264,0.235,-1.576,-0.0,0.034
8630.967,-1.856,3.265,0.235,-1.575,0.003,0.685
8631.967,-1.878,3.281,0.235,-1.566,-0.0,1.494
8632.968,-2.378,3.312,0.233,-1.574,-0.0,1.509
8633.968,-2.878,3.343,0.235,-1.571,-0.0,1.51
8634.968,-3.379,3.373,0.235,-1.571,-0.0,1.509
8635.967,-3.876,3.402,0.235,-1.571,-0.0,1.509
8636.967,-4.04,3.412,0.235,-1.574,-0.0,1.509
8637.967,-4.033,3.43,0.235,-1.569,-0.001,2.147
8638.968,-4.049,3.445,0.235,-1.571,0.0,2.896
8639.967,-4.061,3.447,0.235,-1.571,-0.0,-2.917
8640.968,-3.984,3.118,0.235,-1.568,0.0,-2.916
8641.967,-3.871,2.631,0.236,-1.569,0.0,-2.916
8642.967,-3.874,2.619,0.235,-1.575,0.001,-2.79
8643.967,-3.896,2.604,0.235,-1.569,-0.002,-1.907
8644.967,-3.667,2.638,0.235,-1.567,0.0,-1.379
8645.967,-3.177,2.734,0.234,-1.573,0.0,-1.376
8646.967,-2.686,2.83,0.235,-1.571,-0.0,-1.376
8647.967,-2.195,2.928,0.235,-1.571,0.0,-1.376
8648.967,-1.703,3.024,0.235,-1.571,0.0,-1.375
8649.967,-1.213,3.121,0.235,-1.571,0.0,-1.376
8650.968,-0.72,3.22,0.235,-1.571,0.0,-1.376
8651.968,-0.231,3.318,0.235,-1.571,0.0,-1.376
8652.967,0.26,3.413,0.235,-1.571,0.0,-1.376
8653.967,0.75,3.51,0.235,-1.571,0.0,-1.376
8654.967,1.013,3.571,0.235,-1.57,-0.0,-1.732
8655.967,1.033,3.586,0.235,-1.572,-0.001,-2.616
8656.967,1.071,3.306,0.235,-1.573,0.0,-3.049
8657.967,1.111,2.843,0.236,-1.572,-0.0,-3.035
8658.968,1.088,2.832,0.235,-1.568,-0.002,-2.155
8659.967,1.264,2.829,0.235,-1.574,-0.0,-1.507
8660.967,1.761,2.86,0.236,-1.568,0.0,-1.507
8661.967,2.262,2.893,0.235,-1.571,0.0,-1.507
8662.967,2.762,2.926,0.235,-1.571,0.0,-1.506
8663.967,2.927,2.918,0.235,-1.572,-0.0,-0.973
8664.967,2.94,2.908,0.235,-1.572,0.0,-0.559
8665.967,2.93,2.929,0.235,-1.571,-0.0,-1.363
8666.968,2.942,2.951,0.235,-1.571,0.0,-2.2
8667.968,2.966,2.96,0.235,-1.571,-0.0,-3.02
8668.967,2.892,2.685,0.235,-1.573,0.0,2.829
8669.967,2.828,2.539,0.235,-1.557,-0.0,-2.899
8670.967,2.994,2.082,0.235,-1.556,0.0,-2.8
8671.967,3.149,1.638,0.241,-1.573,0.0,-2.817
8672.967,3.107,1.51,0.234,-1.595,-0.009,2.682
8673.967,2.885,1.067,0.23,-1.586,0.0,2.681
8674.967,2.797,0.926,0.236,-1.596,0.004,-3.04
8675.967,2.89,0.832,0.232,-1.589,0.011,-2.307
8676.967,3.259,0.499,0.235,-1.57,0.0,-2.306
8677.967,3.629,0.164,0.235,-1.571,0.0,-2.306
8678.967,3.696,0.076,0.235,-1.568,-0.0,-1.637
8679.968,3.707,0.075,0.235,-1.569,-0.0,-1.41
8680.968,3.719,0.096,0.235,-1.571,-0.0,-2.256
8681.967,3.742,0.103,0.235,-1.571,-0.0,-3.093
8682.967,3.663,-0.276,0.235,-1.566,0.0,2.929
8683.967,3.557,-0.762,0.233,-1.573,0.0,2.929
8684.968,3.451,-1.252,0.235,-1.572,-0.0,2.928
8685.967,3.347,-1.739,0.235,-1.571,-0.0,2.928
8686.967,3.273,-2.037,0.235,-1.569,0.0,-3.082
8687.967,3.252,-2.047,0.235,-1.573,-0.0,-2.166
8688.967,3.244,-2.057,0.235,-1.572,0.0,-1.748
8689.967,3.251,-2.05,0.235,-1.571,-0.0,-2.027
8690.967,3.272,-2.037,0.235,-1.571,0.0,-2.794
8691.968,3.356,-2.468,0.233,-1.578,-0.0,-2.966
8692.967,3.437,-2.922,0.235,-1.577,0.0,-2.965
8693.967,3.427,-2.922,0.235,-1.568,-0.001,-2.755
8694.968,3.407,-2.937,0.235,-1.572,0.001,-1.843
8695.967,3.405,-2.946,0.235,-1.571,0.0,-1.529
8696.967,3.418,-2.927,0.235,-1.571,-0.0,-2.135
8697.967,3.444,-2.918,0.235,-1.571,0.0,-2.946
8698.968,3.415,-3.002,0.235,-1.576,-0.0,2.607
8699.968,3.207,-3.357,0.236,-1.573,0.0,2.605
8700.967,3.214,-3.374,0.236,-1.58,-0.0,2.192
8701.967,3.08,-3.373,0.235,-1.567,0.002,1.433
8702.967,2.586,-3.305,0.235,-1.57,-0.0,1.433
8703.967,2.09,-3.235,0.235,-1.571,-0.0,1.433
8704.967,1.783,-3.188,0.235,-1.569,-0.0,1.703
8705.967,1.641,-3.303,0.235,-1.571,-0.001,2.327
8706.967,1.278,-3.644,0.234,-1.572,-0.0,2.327
8707.967,1.24,-3.673,0.235,-1.565,-0.003,1.512
8708.967,0.741,-3.623,0.236,-1.568,-0.0,1.472
8709.968,0.246,-3.573,0.236,-1.567,-0.0,1.472
8710.967,-0.254,-3.525,0.235,-1.571,-0.0,1.472
8711.967,-0.752,-3.474,0.235,-1.571,-0.0,1.472
8712.967,-1.251,-3.423,0.235,-1.571,-0.0,1.472
8713.967,-1.749,-3.372,0.235,-1.571,-0.0,1.472
8714.967,-2.245,-3.322,0.235,-1.571,-0.0,1.473
