Time,X,Y,Z,Roll,Pitch,Yaw
8603.967,0.89,-1.286,0.235,-0.0,-0.0,-2.156
8604.967,0.89,-1.286,0.235,-0.0,-0.0,-2.156
8605.968,0.89,-1.286,0.235,0.0,0.0,-2.157
8606.967,0.89,-1.287,0.235,-0.0,0.0,-2.156
8607.967,0.89,-1.288,0.235,-0.0,0.0,-2.156
8608.967,0.89,-1.287,0.235,-0.0,0.0,-2.156
8609.967,0.892,-1.287,0.235,-0.0,0.0,-2.156
8610.967,0.891,-1.287,0.235,-0.0,-0.0,-2.156
8611.967,0.674,-1.613,0.235,-0.0,0.002,-2.157
8612.968,0.421,-1.999,0.235,-0.0,0.005,-2.178
8613.967,0.426,-2.027,0.235,-0.0,0.001,-3.096
8614.967,0.161,-1.922,0.235,-0.0,0.001,2.735
8615.967,-0.298,-1.723,0.235,-0.0,-0.0,2.733
8616.968,-0.758,-1.526,0.235,-0.0,-0.0,2.734
8617.967,-1.217,-1.327,0.235,-0.0,0.0,2.733
8618.967,-1.676,-1.129,0.235,-0.0,0.0,2.733
8619.967,-1.676,-1.129,0.235,-0.0,0.0,2.733
8620.967,-1.736,-0.751,0.235,-0.0,0.001,1.606
8621.967,-1.753,-0.251,0.235,-0.0,-0.0,1.605
8622.967,-1.772,0.251,0.235,-0.0,0.0,1.605
8623.967,-1.788,0.748,0.235,-0.0,-0.0,1.605
8624.968,-1.806,1.248,0.235,-0.0,-0.0,1.605
8625.967,-1.823,1.749,0.235,-0.0,0.0,1.606
8626.967,-1.841,2.251,0.235,-0.0,0.0,1.606
8627.968,-1.86,2.749,0.235,-0.0,0.0,1.606
8628.967,-1.877,3.25,0.235,-0.0,0.0,1.606
8629.967,-1.875,3.262,0.235,-0.0,0.0,1.605
8630.967,-1.857,3.263,0.235,-0.0,-0.0,2.256
8631.967,-1.878,3.28,0.235,-0.0,-0.005,3.066
8632.968,-2.378,3.31,0.235,-0.0,-0.001,3.081
8633.968,-2.878,3.341,0.235,-0.0,0.0,3.081
8634.968,-3.38,3.371,0.235,-0.0,0.0,3.081
8635.967,-3.877,3.4,0.235,-0.0,0.0,3.081
8636.967,-4.041,3.411,0.235,-0.0,0.003,3.081
8637.967,-4.034,3.428,0.235,-0.0,0.0,-2.564
8638.968,-4.05,3.444,0.235,-0.0,0.0,-1.815
8639.967,-4.062,3.446,0.235,-0.0,-0.0,-1.345
8640.968,-3.985,3.117,0.235,-0.0,-0.003,-1.344
8641.967,-3.872,2.63,0.235,-0.0,0.0,-1.344
8642.967,-3.875,2.62,0.235,-0.0,-0.001,-1.218
8643.967,-3.896,2.604,0.235,0.0,-0.0,-0.335
8644.967,-3.668,2.638,0.235,-0.0,-0.003,0.193
8645.967,-3.179,2.734,0.235,-0.0,-0.0,0.195
8646.967,-2.687,2.831,0.235,-0.0,-0.0,0.195
8647.967,-2.197,2.929,0.235,-0.0,-0.0,0.196
8648.967,-1.704,3.026,0.235,-0.0,-0.0,0.196
8649.967,-1.214,3.123,0.235,-0.0,0.0,0.195
8650.968,-0.721,3.222,0.235,-0.0,0.0,0.196
8651.968,-0.231,3.32,0.235,-0.0,0.0,0.195
8652.967,0.26,3.416,0.235,-0.0,-0.0,0.195
8653.967,0.75,3.513,0.235,-0.0,0.0,0.195
8654.967,1.013,3.573,0.235,-0.0,-0.001,-0.161
8655.967,1.032,3.589,0.235,0.0,0.0,-1.045
8656.967,1.071,3.309,0.235,-0.0,0.002,-1.478
8657.967,1.111,2.845,0.235,-0.0,0.004,-1.463
8658.968,1.088,2.834,0.235,-0.0,-0.001,-0.584
8659.967,1.264,2.832,0.235,-0.0,0.004,0.064
8660.967,1.761,2.864,0.235,-0.0,0.0,0.064
8661.967,2.261,2.896,0.235,-0.0,0.0,0.064
8662.967,2.759,2.929,0.235,-0.0,0.0,0.065
